Ob_ID,X,Y,2013 Yield,2014 Yield,2016 Yield,3 Yr Average Yield,Deep EC,Shallow EC,Average EC,Elevation,Slope,2016 Spring SM,2016 Fall SM,2016 Average SM,2017 Spring SM,2018 Spring SM,2019 Spring SM,(aSM-wp)/(fc-wp),Change in SM,Average Spring SM 2016-2019,PCA1,Log10_Yld16,Log_avEC,LogSlope,logElevation,SqrtYld16,16Yld^2
46,435760,4718137,6.045583,4.845618,8.696856,6.529352,21.59429,23.69415,22.64422,1711.747,4.397655,37.25814,8.790721,18.07487,36.18423,21.37616,36.60776,0.2247409,28.46742,23.77547,-1.139931,0.9393623,1.354957,0.6432212,3.23344,2.949043,75.6353
47,435765,4718137,6.811829,4.862913,8.574303,6.749682,20.76596,22.38765,21.57681,1711.682,4.667979,37.20262,9.103702,18.25974,36.20554,21.3293,36.50985,0.2331038,28.09892,23.75608,-1.333435,0.9331988,1.333987,0.6691289,3.233423,2.928191,73.51867
48,435769.9,4718137,7.396391,4.701278,8.98447,7.02738,19.80236,20.70109,20.25173,1711.547,4.957357,37.14584,9.096985,18.26058,36.24663,21.28064,36.74118,0.2338762,28.04885,23.74113,-1.256095,0.9534925,1.306462,0.6952502,3.233389,2.997411,80.7207
49,435774.9,4718137,8.207184,4.517999,8.746984,7.157389,18.70343,18.86387,18.78365,1711.452,5.265305,37.07731,8.875623,18.31302,36.37179,21.21858,36.93673,0.2366903,28.20169,23.74101,-1.530422,0.9418583,1.27378,0.7214235,3.233365,2.95753,76.50973
50,435495.7,4718132,2.294936,1.299547,2.997626,2.19737,9.967261,10.52933,10.2483,1707.933,2.805311,39.71823,9.507405,19.06338,37.03418,22.35569,39.39858,0.2322485,30.21082,24.85445,-2.785208,0.4767774,1.010652,0.447981,3.232471,1.731365,8.985762
51,435500.6,4718132,2.389146,1.356963,3.708034,2.484714,9.998225,10.53973,10.26898,1707.795,2.768539,39.72362,9.516536,19.06029,36.99309,22.34421,39.40222,0.2323444,30.20708,24.84262,-2.370824,0.5691437,1.011527,0.4422506,3.232436,1.925626,13.74952
52,435505.6,4718132,2.383398,1.391523,4.388675,2.721199,10.01966,10.54053,10.28009,1707.85,2.900372,39.73625,9.54024,18.95628,36.95068,22.32237,39.40599,0.2287178,30.19601,24.82969,-2.095151,0.6423334,1.011997,0.4624537,3.23245,2.094916,19.26047
53,435510.6,4718132,2.445837,1.471183,5.617042,3.178021,9.989506,10.40836,10.19893,1707.944,2.950889,39.74755,9.549959,18.9536,36.90547,22.28334,39.40973,0.2287943,30.19759,24.81143,-1.52741,0.7495077,1.008555,0.4699529,3.232474,2.37003,31.55116
54,435515.6,4718132,2.489834,1.567126,5.858718,3.305226,10.26219,10.73723,10.49971,1708.015,3.000429,39.75696,9.559534,18.95058,36.86182,22.24889,39.44184,0.2299954,30.19743,24.7945,-1.433207,0.7678026,1.021177,0.4771834,3.232492,2.420479,34.32458
55,435520.6,4718132,2.515562,1.619005,6.195682,3.443416,10.67139,11.14878,10.91009,1708.13,2.909377,39.76187,9.568658,18.94721,36.80658,22.22389,39.44491,0.2299833,30.19321,24.77564,-1.244647,0.7920891,1.037828,0.4638,3.232521,2.489113,38.38648
56,435525.6,4718132,2.431991,1.636416,5.900243,3.322883,10.89323,11.30594,11.09959,1708.211,2.962587,39.79039,9.649731,18.93172,36.75873,22.19407,39.44738,0.2294416,30.14066,24.76332,-1.43029,0.7708699,1.045307,0.4716711,3.232542,2.429042,34.81287
57,435530.6,4718132,2.762191,1.956383,6.694487,3.804354,11.08291,11.65659,11.36975,1708.331,3.313643,39.80964,9.658363,18.92705,36.73341,22.22094,39.4491,0.2292214,30.15128,24.7685,-1.191053,0.8257173,1.055751,0.5203057,3.232572,2.587371,44.81616
58,435535.6,4718132,3.28214,1.964544,6.85499,4.033891,11.21551,12.00409,11.6098,1708.413,3.345086,39.83253,9.666687,18.92194,36.74075,22.24706,39.71008,0.2282074,30.16584,24.78295,-1.136596,0.8360068,1.064825,0.5244073,3.232593,2.618204,46.99089
59,435540.5,4718132,3.760947,2.11846,6.821953,4.233787,11.29843,12.33969,11.81906,1708.538,3.148395,39.85702,9.674324,18.91638,36.7512,22.27043,39.70998,0.2279536,30.1827,24.7975,-1.104949,0.8339087,1.072583,0.4980892,3.232625,2.611887,46.53904
60,435545.5,4718132,3.938951,2.220222,6.859133,4.339435,11.47539,12.60008,12.03774,1708.607,3.186941,39.87004,9.589719,18.82461,36.75138,22.29427,39.70916,0.2247986,30.28032,24.80674,-1.112437,0.8362692,1.080545,0.503374,3.232642,2.618995,47.04771
61,435550.5,4718132,4.458923,2.364987,6.694387,4.506099,11.78575,12.99479,12.39027,1708.713,3.222501,39.8691,9.596136,18.8181,36.74375,22.31634,39.70773,0.2249577,30.27296,24.81009,-1.225809,0.8257108,1.093081,0.5081931,3.232669,2.587351,44.81482
62,435555.5,4718132,4.784684,2.405552,7.028309,4.739515,12.14528,13.35531,12.75029,1708.765,3.255518,39.85775,9.601458,18.81109,36.73355,22.33598,39.70578,0.2253504,30.25629,24.80958,-1.07047,0.8468508,1.10552,0.5126201,3.232682,2.651096,49.39713
63,435560.5,4718132,5.430388,2.468669,7.303979,5.067679,12.43007,13.66764,13.04885,1708.829,3.286548,39.80588,9.469404,18.80941,36.73166,22.29947,39.70336,0.2260373,30.33648,24.78699,-0.9499323,0.8635595,1.115572,0.51674,3.232699,2.702587,53.34811
64,435565.5,4718132,5.861936,2.529578,7.313826,5.235113,12.71586,14.14582,13.43084,1708.866,3.316237,39.76557,9.474316,18.80098,36.72323,22.28118,39.48391,0.2290634,30.29125,24.76894,-0.9511756,0.8641446,1.128103,0.5206456,3.232708,2.704409,53.49205
65,435570.5,4718132,6.850302,2.673932,7.837457,5.78723,13.37066,14.97477,14.17272,1708.916,3.345287,39.71915,9.476741,18.79209,36.68735,22.25867,39.48048,0.2295279,30.24241,24.74273,-0.6816995,0.8941752,1.151453,0.5244334,3.232721,2.799546,61.42573
66,435575.4,4718132,7.296075,2.867984,7.995091,6.05305,14.18674,15.96892,15.07783,1708.946,3.373839,39.67281,9.471586,18.78279,36.61377,22.23437,39.47618,0.229879,30.20122,24.70667,-0.5834723,0.9028234,1.178339,0.5281244,3.232728,2.827559,63.92148
